case_id,image_count,question_type,gold_answer,raw_prediction,extracted_prediction,status,error_type,strict_raw_ok,latency_sec
01,1,yes_no,YES,YES,YES,correct,ok,True,0.61
02,2,index,2,2,2,correct,ok,True,0.527
03,3,index,1,1,1,correct,ok,True,0.616
04,4,index,3,3,3,correct,ok,True,0.939
05,5,index,4,4,4,correct,ok,True,0.869
06,6,index,3,3,3,correct,ok,True,1.148
07,7,index,1,1,1,correct,ok,True,1.426
08,8,index,8,8,8,correct,ok,True,1.554
09,9,index,1,1,1,correct,ok,True,1.588
10,10,index,1,1,1,correct,ok,True,1.719
11,11,index,11,11,11,correct,ok,True,2.353
12,12,index,7,7,7,correct,ok,True,2.35
13,13,index,13,12,12,wrong,wrong_answer,False,2.364
14,14,index,12,11,11,wrong,wrong_answer,False,2.389
15,15,index,15,14,14,wrong,wrong_answer,False,2.339
16,16,index,15,14,14,wrong,wrong_answer,False,2.118
17,17,index,7,7,7,correct,ok,True,2.147
18,18,index,18,16,16,wrong,wrong_answer,False,2.317
19,19,index,17,16,16,wrong,wrong_answer,False,2.445
20,20,index,9,9,9,correct,ok,True,2.523
21,21,index,10,10,10,correct,ok,True,2.771
22,22,index,2,2,2,correct,ok,True,2.797
23,23,index,22,21,21,wrong,wrong_answer,False,2.89
24,24,index,14,14,14,correct,ok,True,3.005
25,25,index,23,21,21,wrong,wrong_answer,False,3.138
26,26,index,21,20,20,wrong,wrong_answer,False,3.329
27,27,index,5,5,5,correct,ok,True,3.35
28,28,index,18,18,18,correct,ok,True,3.55
29,29,index,24,21,21,wrong,wrong_answer,False,3.652
30,30,index,3,3,3,correct,ok,True,3.698
31,31,index,10,10,10,correct,ok,True,3.869
32,32,index,16,15,15,wrong,wrong_answer,False,3.964
33,33,index,20,19,19,wrong,wrong_answer,False,4.153
34,34,index,26,24,24,wrong,wrong_answer,False,4.218
35,35,index,5,5,5,correct,ok,True,4.296
36,36,index,6,6,6,correct,ok,True,4.44
37,37,index,5,5,5,correct,ok,True,4.495
38,38,index,21,20,20,wrong,wrong_answer,False,4.704
39,39,index,38,33,33,wrong,wrong_answer,False,4.826
40,40,index,25,24,24,wrong,wrong_answer,False,5.313
